,ROUTEID,FROMMEASURE,TOMEASURE,XCOORD,YCOORD,ADDTOGIS,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,FACILITYID,LIGHTTYPE_DESC,POLEHEIGHT_DESC,STREETLIGHTID,WATTAGE1,MAXTEMP,HUMIDITY,WINDSPEED,date_timestamp,day,month,year
3749,11004332,305.6099651,347.9134,394239,143084,2007/07/09 00:00:00+00,Regular Alley,Active,2,33362DC,HPS-High Pressure Sodium,35 ft,33362DC,70,13.860246,93.357346,3.6179552,2007-07-09 00:00:00+00:00,9,7,2007
3750,11022552,2088.935096,2135.867798,393647,144722,2007/07/05 00:00:00+00,WP Arm with Guy,Active,1,31075DC,HPS-High Pressure Sodium,35 ft,31075DC,250,13.930245,93.48393,4.73506,2007-07-05 00:00:00+00:00,5,7,2007
3751,11022552,2031.295653,2088.935096,391619,140423,2007/06/16 00:00:00+00,Simple WP,Active,1,33939DC,INC-Incandescent,35 ft,33939DC,295,15.420245,88.80518,3.5455887,2007-06-16 00:00:00+00:00,16,6,2007
3752,11034972,499.0244694,564.7267213,391426,140519,2007/06/16 00:00:00+00,Simple WP,Active,1,34006DC,INC-Incandescent,35 ft,34006DC,295,16.950245,82.1592,5.991594,2007-06-16 00:00:00+00:00,16,6,2007
3753,11022552,1879.233079,2008.386587,390977,140415,2007/06/18 00:00:00+00,Wood pole Truss,Active,1,39199DC,INC-Incandescent,35 ft,39199DC,295,18.080246,75.189606,6.638072,2007-06-18 00:00:00+00:00,18,6,2007
3754,12000802,3401.967079,3451.10454,391175,140196,2007/06/21 00:00:00+00,Wood pole Truss,Active,1,34311DC,INC-Incandescent,35 ft,34311DC,405,19.440245,69.89467,6.28713,2007-06-21 00:00:00+00:00,21,6,2007
3755,11022552,2008.386587,2031.295653,391002,140578,2007/06/16 00:00:00+00,Simple WP,Active,1,34044DC,INC-Incandescent,35 ft,34044DC,295,20.730246,61.53672,7.24486,2007-06-16 00:00:00+00:00,16,6,2007
3756,11004302,1160.791148,1202.785175,391380,142459,2007/06/30 00:00:00+00,WP Arm with Guy,Active,1,31291DC,HPS-High Pressure Sodium,35 ft,31291DC,250,21.580246,57.517426,7.9932966,2007-06-30 00:00:00+00:00,30,6,2007
3757,11076312,210.2237626,384.0212038,391966,141921,2007/07/06 00:00:00+00,WP Arm with Guy,Active,1,3F255DC,HPS-High Pressure Sodium,35 ft,3F255DC,100,22.650246,52.95505,9.693296,2007-07-06 00:00:00+00:00,6,7,2007
3758,11022552,1813.741592,1879.233079,391618,142638,2007/07/03 00:00:00+00,Simple WP,Active,1,3F226DC,HPS-High Pressure Sodium,35 ft,3F226DC,100,23.110245,50.483135,3.319036,2007-07-03 00:00:00+00:00,3,7,2007
